Time	Water Level
0	1
0.237	1
0.474	1.1
0.711	1.2
0.948	1.39
1.185	1.5
1.422	1.6
1.659	1.7
1.896	1.79
2.133	1.9
2.37	2
2.607	2.09
2.844	2.2
3.081	2.29
3.318	2.5
3.555	2.59
3.792	2.7
4.029	2.79
4.266	2.9
4.503	3.09
4.74	3.2
4.977	3.29
5.214	3.4
5.451	3.59
5.688	3.7
5.925	3.79
6.162	3.9
6.399	4.09
6.636	4.19
6.873	4.3
7.11	4.4
7.347	4.59
7.584	4.69
7.821	4.8
8.058	4.9
8.295	5.09
8.532	5.19
8.769	5.3
9.006	5.5
9.243	5.59
9.48	5.69
9.717	5.8
9.954	6
10.191	6.09
10.428	6.19
10.665	6.3
10.902	6.5
11.139	6.59
11.376	6.69
11.613	6.8
11.85	6.9
12.087	7.09
12.324	7.19
12.561	7.3
12.798	7.4
13.035	7.5
13.272	7.69
13.509	7.8
13.746	7.9
13.983	8
14.22	8.1
14.457	8.19
14.694	8.3
14.931	8.39
15.168	8.6
15.405	8.69
15.642	8.8
15.879	8.89
16.116	9
16.353	9.1
16.59	9.19
16.827	9.3
17.064	9.39
17.301	9.5
17.538	9.6
17.775	9.69
18.012	9.69
18.249	9.8
18.486	9.89
18.723	10
18.96	10.1
19.197	10.19
19.434	10.3
19.671	10.3
19.908	10.39
20.145	10.5
20.382	10.6
20.619	10.69
20.856	10.69
21.093	10.8
21.33	10.89
21.567	10.89
21.804	11
22.041	11.1
22.278	11.1
22.515	11.19
22.752	11.3
22.989	11.3
23.226	11.39
23.463	11.39
23.7	11.5
23.937	11.5
24.173	11.6
24.41	11.6
24.647	11.69
24.884	11.69
25.121	11.8
25.358	11.8
25.595	11.89
25.832	11.89
26.069	11.89
26.306	12
26.543	12
26.78	12
27.017	12.1
27.254	12.1
27.491	12.1
27.728	12.19
27.965	12.19
28.202	12.19
28.439	12.19
28.676	12.3
28.913	12.3
29.15	12.3
29.387	12.3
29.624	12.3
29.861	12.3
30.098	12.39
30.335	12.39
30.572	12.39
30.809	12.39
31.046	12.39
31.283	12.39
31.52	12.39
31.757	12.39
31.994	12.39
32.231	12.39
32.468	12.39
32.705	12.39
32.942	12.39
33.179	12.39
33.416	12.39
33.653	12.39
33.89	12.39
34.127	12.39
34.364	12.39
34.601	12.39
34.838	12.39
35.075	12.39
35.312	12.39
35.549	12.3
35.786	12.3
36.023	12.3
36.26	12.3
36.497	12.3
36.734	12.3
36.971	12.19
37.208	12.19
37.445	12.19
37.682	12.19
37.919	12.19
38.156	12.1
38.393	12.1
38.63	12.1
38.867	12.1
